account_id,company_name,industry,customer_segment,contract_type,payment_method,tenure_months,monthly_charges,total_charges,contract_licenses,active_users,support_tickets_30d,sla_breaches_90d,nps_score,last_login_days_ago,feature_usage_score,executive_sponsor_present,discount_percentage,paperless_billing,auto_renewal,churn
AC-1001,Synergy Corp,Healthcare,Mid-Market,Month-to-Month,Manual Wire,4,1187.36,4561.56,75,48,5,2,8,5,90.0,0,0,1,1,1
AC-1002,Zenith Cloud,E-Commerce,Mid-Market,Month-to-Month,Auto-Invoice,3,1279.08,3819.61,63,36,3,0,4,0,97.2,1,0,1,1,1
AC-1003,Quantum Labs,Enterprise Tech,SMB,Month-to-Month,ACH Direct Debit,52,664.73,34540.94,5,4,3,2,8,4,81.8,1,0,1,1,0
AC-1004,Synergy Logistics,Enterprise Tech,Enterprise,Month-to-Month,ACH Direct Debit,28,2061.89,57047.84,450,289,3,0,3,1,100.0,0,5,1,0,0
AC-1005,Nexus Networks,E-Commerce,Mid-Market,Month-to-Month,Auto-Invoice,70,1007.11,68278.91,77,36,6,1,10,40,57.7,1,25,1,1,0
AC-1006,Aegis Cloud,Enterprise Tech,Enterprise,2-Year Fixed,Auto-Invoice,70,2885.57,199067.43,353,231,4,0,7,1,53.0,1,15,1,0,0
AC-1007,Quantum Labs,Enterprise Tech,Mid-Market,Month-to-Month,ACH Direct Debit,55,1258.4,68087.7,36,14,1,0,7,1,94.4,1,10,1,0,0
AC-1008,Starlight Capital,Enterprise Tech,SMB,1-Year Fixed,Auto-Invoice,57,667.24,38029.89,20,16,3,1,6,6,70.2,1,15,0,1,0
AC-1009,Quantum Global,Professional Services,Mid-Market,Month-to-Month,ACH Direct Debit,16,1977.1,32186.18,75,40,6,1,3,4,43.2,0,10,0,1,1
AC-1010,Hyperion Labs,E-Commerce,SMB,Month-to-Month,Credit Card,24,614.12,15429.01,24,12,2,1,10,0,62.3,0,5,1,1,0
AC-1011,Vortex Capital,Financial Services,Mid-Market,3-Year Enterprise,Credit Card,69,1107.21,73678.99,30,29,1,3,10,0,72.6,0,0,1,0,0
AC-1012,Crest Technologies,Financial Services,Mid-Market,Month-to-Month,ACH Direct Debit,41,1046.05,44487.85,17,14,2,0,6,10,56.4,0,10,1,0,1
AC-1013,Vortex Data,Financial Services,Enterprise,2-Year Fixed,Auto-Invoice,47,4200.44,193159.91,195,166,4,0,9,4,49.7,1,0,1,0,0
AC-1014,Omni Systems,Logistics,Mid-Market,1-Year Fixed,Credit Card,69,1295.41,90200.01,61,45,3,1,6,0,64.3,1,5,1,1,0
AC-1015,Crest Logistics,E-Commerce,Mid-Market,Month-to-Month,Auto-Invoice,31,1440.02,44849.26,56,50,3,1,8,3,48.8,1,15,1,1,0
AC-1016,Hyperion Data,Enterprise Tech,Enterprise,3-Year Enterprise,Auto-Invoice,30,3665.17,110581.28,119,99,4,2,9,1,79.4,1,0,1,1,0
AC-1017,Acme Systems,Enterprise Tech,Mid-Market,Month-to-Month,Credit Card,18,1357.32,24977.46,37,27,1,1,8,1,33.0,1,0,0,1,0
AC-1018,Aegis Cloud,Enterprise Tech,Mid-Market,2-Year Fixed,ACH Direct Debit,44,984.51,42805.93,17,17,5,1,10,19,69.6,1,0,0,1,0
AC-1019,Velocity Logistics,E-Commerce,Mid-Market,Month-to-Month,Auto-Invoice,27,1622.89,43025.36,15,7,6,0,8,2,77.4,1,10,1,0,0
AC-1020,Crest Data,Logistics,Mid-Market,2-Year Fixed,Credit Card,26,1765.54,47523.69,17,16,1,0,7,0,66.4,1,0,0,1,0
AC-1021,Velocity Global,Financial Services,Mid-Market,Month-to-Month,Credit Card,60,1600.73,93355.49,63,37,6,2,6,21,87.7,0,5,1,1,0
AC-1022,Crest Networks,Enterprise Tech,Enterprise,1-Year Fixed,Auto-Invoice,18,4579.92,79802.55,346,232,0,3,6,9,43.3,0,5,1,1,1
AC-1023,Starlight Health,Enterprise Tech,Enterprise,2-Year Fixed,Auto-Invoice,56,2600.59,138578.68,480,185,3,0,9,1,55.4,1,5,1,0,0
AC-1024,Nexus Labs,Professional Services,Mid-Market,3-Year Enterprise,Manual Wire,31,1596.97,48073.25,45,31,5,1,4,3,62.1,0,0,0,1,0
AC-1025,Nexus Networks,Financial Services,Mid-Market,3-Year Enterprise,ACH Direct Debit,59,1191.76,70444.14,78,57,5,1,10,12,80.8,1,25,1,0,0
AC-1026,Omni Health,Logistics,Enterprise,2-Year Fixed,Credit Card,2,2414.09,4846.77,322,321,4,0,7,2,71.9,1,5,1,1,0
AC-1027,Synergy Solutions,E-Commerce,SMB,2-Year Fixed,Credit Card,39,200.82,7639.64,7,7,7,0,5,5,100.0,1,10,0,1,0
AC-1028,Starlight Health,Financial Services,SMB,Month-to-Month,Auto-Invoice,61,467.96,27324.59,12,12,2,1,5,4,53.5,0,10,0,0,0
