account_id,company_name,industry,customer_segment,contract_type,payment_method,tenure_months,monthly_charges,total_charges,contract_licenses,active_users,support_tickets_30d,sla_breaches_90d,nps_score,last_login_days_ago,feature_usage_score,executive_sponsor_present,discount_percentage,paperless_billing,auto_renewal,churn,support_ticket_rate,usage_per_license,charge_per_user,engagement_score,account_health_index,churn_probability,prediction,risk_level
AC-1001,Synergy Corp,Healthcare,Mid-Market,Month-to-Month,Manual Wire,4,1187.36,4561.56,75,48,5,2,8,5,90.0,0,0,1,1,1,1.0,0.64,24.74,86.0,49.3,0.6929,1,HIGH
AC-1002,Zenith Cloud,E-Commerce,Mid-Market,Month-to-Month,Auto-Invoice,3,1279.08,3819.61,63,36,3,0,4,0,97.2,1,0,1,1,1,0.75,0.5714,35.53,74.32,58.43,0.1154,0,LOW
AC-1003,Quantum Labs,Enterprise Tech,SMB,Month-to-Month,ACH Direct Debit,52,664.73,34540.94,5,4,3,2,8,4,81.8,1,0,1,1,0,0.0566,0.8,166.18,81.08,69.0,0.0315,0,LOW
AC-1004,Synergy Logistics,Enterprise Tech,Enterprise,Month-to-Month,ACH Direct Debit,28,2061.89,57047.84,450,289,3,0,3,1,100.0,0,5,1,0,0,0.1034,0.6422,7.13,72.0,35.34,0.4936,0,MEDIUM
AC-1005,Nexus Networks,E-Commerce,Mid-Market,Month-to-Month,Auto-Invoice,70,1007.11,68278.91,77,36,6,1,10,40,57.7,1,25,1,1,0,0.0845,0.4675,27.98,74.62,34.35,0.0684,0,LOW
AC-1006,Aegis Cloud,Enterprise Tech,Enterprise,2-Year Fixed,Auto-Invoice,70,2885.57,199067.43,353,231,4,0,7,1,53.0,1,15,1,0,0,0.0563,0.6544,12.49,59.8,82.59,0.0321,0,LOW
AC-1007,Quantum Labs,Enterprise Tech,Mid-Market,Month-to-Month,ACH Direct Debit,55,1258.4,68087.7,36,14,1,0,7,1,94.4,1,10,1,0,0,0.0179,0.3889,89.89,84.64,77.28,0.0448,0,LOW
AC-1008,Starlight Capital,Enterprise Tech,SMB,1-Year Fixed,Auto-Invoice,57,667.24,38029.89,20,16,3,1,6,6,70.2,1,15,0,1,0,0.0517,0.8,41.7,66.12,60.0,0.0187,0,LOW
AC-1009,Quantum Global,Professional Services,Mid-Market,Month-to-Month,ACH Direct Debit,16,1977.1,32186.18,75,40,6,1,3,4,43.2,0,10,0,1,1,0.3529,0.5333,49.43,37.92,18.67,0.9254,1,CRITICAL
AC-1010,Hyperion Labs,E-Commerce,SMB,Month-to-Month,Credit Card,24,614.12,15429.01,24,12,2,1,10,0,62.3,0,5,1,1,0,0.08,0.5,51.18,77.38,80.0,0.2719,0,LOW
AC-1011,Vortex Capital,Financial Services,Mid-Market,3-Year Enterprise,Credit Card,69,1107.21,73678.99,30,29,1,3,10,0,72.6,0,0,1,0,0,0.0143,0.9667,38.18,83.56,69.33,0.0686,0,LOW
AC-1012,Crest Technologies,Financial Services,Mid-Market,Month-to-Month,ACH Direct Debit,41,1046.05,44487.85,17,14,2,0,6,10,56.4,0,10,1,0,1,0.0476,0.8235,74.72,57.84,49.47,0.6844,1,HIGH
AC-1013,Vortex Data,Financial Services,Enterprise,2-Year Fixed,Auto-Invoice,47,4200.44,193159.91,195,166,4,0,9,4,49.7,1,0,1,0,0,0.0833,0.8513,25.3,65.82,98.03,0.044,0,LOW
AC-1014,Omni Systems,Logistics,Mid-Market,1-Year Fixed,Credit Card,69,1295.41,90200.01,61,45,3,1,6,0,64.3,1,5,1,1,0,0.0429,0.7377,28.79,62.58,67.75,0.022,0,LOW
AC-1015,Crest Logistics,E-Commerce,Mid-Market,Month-to-Month,Auto-Invoice,31,1440.02,44849.26,56,50,3,1,8,3,48.8,1,15,1,1,0,0.0938,0.8929,28.8,61.28,82.36,0.0624,0,LOW
AC-1016,Hyperion Data,Enterprise Tech,Enterprise,3-Year Enterprise,Auto-Invoice,30,3665.17,110581.28,119,99,4,2,9,1,79.4,1,0,1,1,0,0.129,0.8319,37.02,83.64,82.14,0.0305,0,LOW
AC-1017,Acme Systems,Enterprise Tech,Mid-Market,Month-to-Month,Credit Card,18,1357.32,24977.46,37,27,1,1,8,1,33.0,1,0,0,1,0,0.0526,0.7297,50.27,51.8,82.09,0.1569,0,LOW
